id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,month,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
253533,SUD-2018-1-666-45,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,2,"""All Africa,2018-02-07,♦ This Week's News in Brief ♦
CR 	Radio Dabanga"";""Radio Dabanga,2018-01-31,UXO blast kills one, maims two in Darfur’s Jebel Marra""",All Africa;Radio Dabanga,2018-02-07;2018-01-31,"♦ This Week's News in Brief ♦
CR 	Radio Dabanga;UXO blast kills one, maims two in Darfur’s Jebel Marra",Radio Dabanga,2,Dolma village,"Darfur's Jebel Marra

near Dolma village, about 15 km west of Tabit in Tawila locality in North Darfur.",North Darfur state,El Fasher district,13.15,25.016666,POINT (25.016666 13.15),148731,Sudan,625,Africa,1,1,1,31/01/2018,31/01/2018,0,0,0,0,0,1,0,625,
253540,SUD-2018-3-947-0,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""All Africa,2018-02-08,North Darfur Restaurateur 'Tortured to Death' After Wife Beaten By Militiamen
CR 	Radio Dabanga""",All Africa,08/02/2018,"North Darfur Restaurateur 'Tortured to Death' After Wife Beaten By Militiamen
CR 	Radio Dabanga",relatives,2,Jebel Amir,Jebel Amer in North Darfur,North Darfur state,,13.8,23.7,POINT (23.7 13.8),149448,Sudan,625,Africa,1,1,2,04/02/2018,04/02/2018,0,0,1,0,1,1,1,625,
253559,SUD-2018-3-947-1,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""All Africa,2018-02-14,Merchant Killed in Kassala, Eastern Sudan
CR 	Radio Dabanga""",All Africa,14/02/2018,"Merchant Killed in Kassala, Eastern Sudan
CR 	Radio Dabanga",witness,1,Kassala town,Kassala,Kassala state,,15.45099,36.39998,POINT (36.39998 15.450989999999999),151633,Sudan,625,Africa,1,1,2,12/02/2018,12/02/2018,0,0,1,0,1,1,1,625,
253564,SUD-2018-3-947-2,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,3,"""All Africa,2018-02-16,Open Letter to UN On Detentions, Use of Excessive Force in Sudan
CR 	Radio Dabanga"";""Radio Dabanga,2018-01-22,‘Four shot dead in Central Darfur camp protests’: Coordinator"";""African Centre for Justice and Peace Studies,2018-01-24,Five IDPs killed as SAF and RSF use live ammunition to disperse a protest in Central Darfur""",All Africa;Radio Dabanga;African Centre for Justice and Peace Studies,2018-02-16;2018-01-22;2018-01-24,"Open Letter to UN On Detentions, Use of Excessive Force in Sudan
CR 	Radio Dabanga;‘Four shot dead in Central Darfur camp protests’: Coordinator;Five IDPs killed as SAF and RSF use live ammunition to disperse a protest in Central Darfur","Enough Project; El Shafee Abdallah, Coordinator of the Central Darfur camps; Commissioner of Zalingei; ACJPS",1,Zalingei town,"Hasahisa camp in Zalingei, Central Darfur,",Central Darfur state,Zalingei district,12.883333,23.466667,POINT (23.466667 12.883333),148007,Sudan,625,Africa,1,1,1,20/01/2018,20/01/2018,0,0,0,4,4,5,4,625,
253573,SUD-2018-2-5584-5,2018,TRUE,Clear,2,5584,4974,Misseriya - Ngok Dinka,5584,5584,Misseriya - Ngok Dinka,1025,1025,Misseriya,1005,1005,Ngok Dinka,4,"""All Africa,2018-02-21,'South Sudanese Gunmen Killed Civilians in West Kordofan' - MP
CR 	Radio Dabanga"";""Radio Tamazuj,2018-02-22,36 killed, many injured in a cattle raid in West Kordofan"";""Radio Dabanga,2018-03-08,Dinka-Ngok, Misseriya sign peace accord in Abyei"";""Radio Dabanga,2018-02-22,46+ dead in cattle raids across Sudan-South Sudan border""",All Africa;Radio Tamazuj;Radio Dabanga;Radio Dabanga,2018-02-21;2018-02-22;2018-03-08;2018-02-22,"'South Sudanese Gunmen Killed Civilians in West Kordofan' - MP
CR 	Radio Dabanga;36 killed, many injured in a cattle raid in West Kordofan;Dinka-Ngok, Misseriya sign peace accord in Abyei;46+ dead in cattle raids across Sudan-South Sudan border","The head of the Sudanese health committee in the national parliament, Saleh Juma; Hamdi Suleiman, one of the Misseriya chiefs; Ruweng state governor, Them Machar Kuol",3,Keilak district,"Keilik in West Kordofan / Saida Hawa, northern Abu Kadma area",West Kordofan state,Keilak district,10.831529,29.347621,POINT (29.347621 10.831529),145139,Sudan,625,Africa,1,1,2,18/02/2018,18/02/2018,0,0,0,36,36,36,36,,
253593,SUD-2018-2-5584-3,2018,TRUE,Clear,2,5584,4974,Misseriya - Ngok Dinka,5584,5584,Misseriya - Ngok Dinka,1025,1025,Misseriya,1005,1005,Ngok Dinka,3,"""All Africa,2018-02-23,46+ Dead in Cattle Raids Across Sudan-South Sudan Border
CR 	Radio Dabanga"";""Radio Dabanga,2018-02-22,46+ dead in cattle raids across Sudan-South Sudan border"";""Radio Dabanga,2018-03-08,Dinka-Ngok, Misseriya sign peace accord in Abyei""",All Africa;Radio Dabanga;Radio Dabanga,2018-02-23;2018-02-22;2018-03-08,"46+ Dead in Cattle Raids Across Sudan-South Sudan Border
CR 	Radio Dabanga;46+ dead in cattle raids across Sudan-South Sudan border;Dinka-Ngok, Misseriya sign peace accord in Abyei","Ismail Hamdan, the Amir of Awlad Omran tribe; Hasan Sheikheldin, the head of the National Umma Party (NUP)",4,West Kordofan state,"El Darab, Um Geroun, and Um Kadma areas in El Dibab locality in West Kordofan",West Kordofan state,,12,28.15,POINT (28.15 12),147297,Sudan,625,Africa,2,4,2,01/02/2018,22/02/2018,0,0,0,10,10,10,10,,
253713,SUD-2018-1-666-1,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,1,"""Radio Dabanga,2018-02-28,Child killed in Darfur shelling""",Radio Dabanga,28/02/2018,Child killed in Darfur shelling,relative,1,Tulu village,Tala village 50 km west of Dubo El Omda in Tawila locality (popularly known as eastern Jebel Marra),North Darfur state,Tawila district,12.81667,26.28333,POINT (26.28333 12.81667),148013,Sudan,625,Africa,1,1,2,28/02/2018,28/02/2018,0,0,1,0,1,1,1,625,
254223,SUD-2018-1-666-0,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,1,"""UN SG ,2018-02-22,Report of the Secretary-General on the African UnionUnited Nations Hybrid Operation in Darfur""",UN SG,22/02/2018,Report of the Secretary-General on the African UnionUnited Nations Hybrid Operation in Darfur,UN SG,2,Golo town,"in Kurmul village, north-east of Golo and near Kati village, 15 km southeast
of Golo, in the Jebel Marra",Central Darfur state,Rokoro district,13.13228,24.28082,POINT (24.28082 13.13228),148729,Sudan,625,Africa,1,1,1,18/01/2018,18/01/2018,1,0,0,0,1,1,1,625,
254225,SUD-2018-1-11988-2,2018,FALSE,Clear,1,309,309,Sudan: Government,11988,11988,Government of Sudan - SRF,112,112,Government of Sudan,1162,1162,SRF,1,"""UN SG ,2018-02-22,Report of the Secretary-General on the African UnionUnited Nations Hybrid Operation in Darfur""",UN SG,22/02/2018,Report of the Secretary-General on the African UnionUnited Nations Hybrid Operation in Darfur,UN SG,4,East Darfur state,"border village of Kalabah, some 250 km south of Ed Daein,",East Darfur state,,11.166667,26.5,POINT (26.5 11.166667),145854,Sudan,625,Africa,1,1,1,24/01/2018,24/01/2018,3,0,0,0,3,3,3,625,
254792,SUD-2018-3-947-4,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,2,"""All Africa,2018-03-26,Civilians - 'RSF Out of Sudan's Kassala'
CR 	Radio Dabanga"";""Sudan Tribune,2018-01-06,Sudan deploys thousands of militiamen on border with Eritrea""",All Africa;Sudan Tribune,2018-03-26;2018-01-06,"Civilians - 'RSF Out of Sudan's Kassala'
CR 	Radio Dabanga;Sudan deploys thousands of militiamen on border with Eritrea","Abdallah Musa, a senior civilian leader in eastern Sudan",4,Kassala state,Kassala,Kassala state,,15.9,35.65,POINT (35.65 15.9),152352,Sudan,625,Africa,2,5,1,04/01/2018,26/03/2018,0,0,0,2,2,2,2,625,
