country,year,month,month_year,best
Afghanistan,2023,1,202301,54
Afghanistan,2023,2,202302,21
Afghanistan,2023,3,202303,47
Afghanistan,2023,4,202304,52
Afghanistan,2023,5,202305,16
Afghanistan,2023,6,202306,24
Afghanistan,2023,7,202307,15
Afghanistan,2023,8,202308,22
Afghanistan,2023,9,202309,5
Afghanistan,2023,10,202310,49
Afghanistan,2023,11,202311,21
Afghanistan,2023,12,202312,9
Afghanistan,2024,1,202401,26
Afghanistan,2024,2,202402,1
Afghanistan,2024,3,202403,56
Afghanistan,2024,4,202404,12
Afghanistan,2024,5,202405,47
Afghanistan,2024,6,202406,15
Afghanistan,2024,7,202407,17
Afghanistan,2024,8,202408,16
Afghanistan,2024,9,202409,45
Afghanistan,2024,10,202410,15
Afghanistan,2024,11,202411,17
Afghanistan,2024,12,202412,88
Israel,2018,1,201801,4
Israel,2018,2,201802,2
Israel,2018,3,201803,23
Israel,2018,4,201804,2
Israel,2018,5,201805,4
Israel,2018,6,201806,1
Israel,2018,7,201807,12
Israel,2018,8,201808,5
Israel,2018,9,201809,0
Israel,2018,10,201810,0
Israel,2018,11,201811,15
Israel,2018,12,201812,7
Israel,2019,1,201901,2
Israel,2019,2,201902,0
Israel,2019,3,201903,5
Israel,2019,4,201904,1
Israel,2019,5,201905,30
Israel,2019,6,201906,0
Israel,2019,7,201907,0
Israel,2019,8,201908,6
Israel,2019,9,201909,0
Israel,2019,10,201910,0
Israel,2019,11,201911,35
Israel,2019,12,201912,4
Israel,2020,1,202001,3
Israel,2020,2,202002,3
Israel,2020,3,202003,0
Israel,2020,4,202004,0
Israel,2020,5,202005,2
Israel,2020,6,202006,0
Israel,2020,7,202007,0
Israel,2020,8,202008,0
Israel,2020,9,202009,0
Israel,2020,10,202010,0
Israel,2020,11,202011,0
Israel,2020,12,202012,0
Israel,2021,1,202101,0
Israel,2021,2,202102,0
Israel,2021,3,202103,0
Israel,2021,4,202104,1
Israel,2021,5,202105,254
Israel,2021,6,202106,3
Israel,2021,7,202107,1
Israel,2021,8,202108,9
Israel,2021,9,202109,6
Israel,2021,10,202110,0
Israel,2021,11,202111,3
Israel,2021,12,202112,3
Israel,2022,1,202201,3
Israel,2022,2,202202,3
Israel,2022,3,202203,4
Israel,2022,4,202204,11
Israel,2022,5,202205,5
Israel,2022,6,202206,4
Israel,2022,7,202207,2
