country,year,month,best
Afghanistan,2023,1,54
Afghanistan,2023,2,21
Afghanistan,2023,3,47
Afghanistan,2023,4,52
Afghanistan,2023,5,16
Afghanistan,2023,6,24
Afghanistan,2023,7,15
Afghanistan,2023,8,22
Afghanistan,2023,9,5
Afghanistan,2023,10,49
Afghanistan,2023,11,21
Afghanistan,2023,12,9
Afghanistan,2024,1,26
Afghanistan,2024,2,1
Afghanistan,2024,3,56
Afghanistan,2024,4,12
Afghanistan,2024,5,47
Afghanistan,2024,6,15
Afghanistan,2024,7,17
Afghanistan,2024,8,16
Afghanistan,2024,9,45
Afghanistan,2024,10,15
Afghanistan,2024,11,17
Afghanistan,2024,12,88
Syria,2023,1,148
Syria,2023,2,174
Syria,2023,3,147
Syria,2023,4,138
Syria,2023,5,74
Syria,2023,6,126
Syria,2023,7,114
Syria,2023,8,255
Syria,2023,9,259
Syria,2023,10,399
Syria,2023,11,192
Syria,2023,12,164
Syria,2024,1,162
Syria,2024,2,253
Syria,2024,3,360
Syria,2024,4,207
Syria,2024,5,163
Syria,2024,6,169
Syria,2024,7,122
Syria,2024,8,148
Syria,2024,9,200
Syria,2024,10,226
Syria,2024,11,731
Syria,2024,12,886
Libya,2023,1,0
Libya,2023,2,0
Libya,2023,3,0
Libya,2023,4,0
Libya,2023,5,2
Libya,2023,6,0
Libya,2023,7,0
Libya,2023,8,0
Libya,2023,9,0
Libya,2023,10,0
Libya,2023,11,0
Libya,2023,12,0
Libya,2024,1,0
Libya,2024,2,0
Libya,2024,3,0
Libya,2024,4,0
Libya,2024,5,0
Libya,2024,6,3
Libya,2024,7,3
Libya,2024,8,0
Libya,2024,9,3
Libya,2024,10,0
Libya,2024,11,0
Libya,2024,12,0
